##var,id,name,,desc,,icon,bg,quality,type,sub_type,can_use
##type,int,text,,text,,string,string,EQuality,ItemType,ItemSubType,ItemUseType
##group,,,,,,,,,,,
##,ID,名称,,描述,,图标,背景图,品质,类型,子类型,能否使用
##,唯一ID7位，1开始,填翻译表中的Key,,填翻译表中的Key,,图标路径,图标路径,"White ：1 白色
Blue  ：2 蓝色
Purple：3 紫色
Red   ：4 红色
Orange：5 橙色","Item       :1 道具
Expendable :2 消耗品
Equip      :3 装备
Fragment   :4 碎片
Material   :5 材料","None  :0 无
Weapon:1 武器
Chest :2 胸
Belt  :3 腰带
Boot  :4 鞋子
Ring  :5 戒指","CanNot  :0 不可使用
UseOne  :1 可单个使用
UseTotal:2 可一键全部使用"
,10001,,钻石,,最珍贵的资源,item/diamond1.png,item/goods_bg1.png,White,Item,0,UseTotal
,10002,,突破石,,最珍贵的资源,item/diamond2.png,item/goods_bg1.png,White,Expendable,0,UseTotal
,10003,,木材,,最珍贵的资源,item/diamond3.png,item/goods_bg1.png,White,Expendable,0,UseTotal
,10004,,铁矿,,最珍贵的资源,item/diamond4.png,item/goods_bg1.png,White,Expendable,0,UseTotal
,10005,,高级许愿卡,,最珍贵的资源,item/diamond5.png,item/goods_bg1.png,Blue,Item,0,UseTotal
,10006,,种族许愿石,,最珍贵的资源,item/diamond6.png,item/goods_bg1.png,Blue,Item,0,UseTotal
,10007,,传说随机碎片,,最珍贵的资源,item/diamond7.png,item/goods_bg1.png,Blue,Item,0,UseTotal
,10008,,稀有传说随机碎片,,最珍贵的资源,item/diamond8.png,item/goods_bg1.png,Purple,Item,0,UseTotal
,10009,,升品石,,最珍贵的资源,item/diamond9.png,item/goods_bg1.png,Red,Expendable,0,UseTotal
,10010,,三系稀有传说自选卡,,最珍贵的资源,item/diamond10.png,item/goods_bg1.png,Orange,Item,0,UseTotal
,10011,,鉴宝锤,,最珍贵的资源,item/diamond11.png,item/goods_bg1.png,Orange,Item,0,UseTotal
,10012,,金券,,最珍贵的资源,item/diamond12.png,item/goods_bg1.png,Orange,Item,0,UseTotal
